Serving HTTP on 127.0.0.1 port 8520 (http://127.0.0.1:8520/) ...
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/vendor/post/EffectComposer.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/vendor/post/RenderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/vendor/post/ShaderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/vendor/post/UnrealBloomPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/vendor/shaders/CopyShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/vendor/shaders/LuminosityHighPassShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/textures.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/world.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/characters.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/ai.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/lore.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:36] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:37] "GET /assets/characters/orv.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:37] "GET /assets/characters/sera.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:37] "GET /assets/characters/rivets.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:37] "GET /assets/characters/bolt.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:37] "GET /assets/characters/wonder.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:18:37] code 404, message File not found
127.0.0.1 - - [21/Aug/2026 17:18:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [21/Aug/2026 17:18:43] code 404, message File not found
127.0.0.1 - - [21/Aug/2026 17:18:43] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /index.html?qa=1 HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/three.min.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/gltf/GLTFLoader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/post/EffectComposer.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/post/RenderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/post/ShaderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/post/UnrealBloomPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/shaders/CopyShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/vendor/shaders/LuminosityHighPassShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/textures.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/world.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/characters.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/ai.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /js/lore.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /assets/characters/orv.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /assets/characters/rivets.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /assets/characters/sera.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /assets/characters/wonder.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /assets/characters/bolt.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:20:57] code 404, message File not found
127.0.0.1 - - [21/Aug/2026 17:20:57] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [21/Aug/2026 17:21:03] code 404, message File not found
127.0.0.1 - - [21/Aug/2026 17:21:03] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /index.html?qa=1 HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/three.min.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/gltf/GLTFLoader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/post/EffectComposer.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/post/RenderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/post/ShaderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/post/UnrealBloomPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/shaders/CopyShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/vendor/shaders/LuminosityHighPassShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/textures.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/lore.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/ai.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/characters.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/world.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /assets/characters/orv.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /assets/characters/rivets.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /assets/characters/sera.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /assets/characters/bolt.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /assets/characters/wonder.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:22:35] code 404, message File not found
127.0.0.1 - - [21/Aug/2026 17:22:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [21/Aug/2026 17:22:41] code 404, message File not found
127.0.0.1 - - [21/Aug/2026 17:22:41] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /index.html?qa=1 HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/three.min.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/gltf/GLTFLoader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/post/EffectComposer.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/post/RenderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/post/ShaderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/post/UnrealBloomPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/shaders/CopyShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/vendor/shaders/LuminosityHighPassShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/textures.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/world.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/characters.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/ai.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/lore.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /assets/characters/orv.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /assets/characters/rivets.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /assets/characters/wonder.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:43] "GET /assets/characters/bolt.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:24:44] "GET /assets/characters/sera.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /index.html?qa=1 HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/three.min.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/gltf/GLTFLoader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/post/EffectComposer.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/post/RenderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/post/ShaderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/post/UnrealBloomPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/shaders/CopyShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/vendor/shaders/LuminosityHighPassShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/textures.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/world.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/characters.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/ai.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/lore.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:11] "GET /js/ui.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:12] "GET /assets/characters/orv.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:12] "GET /assets/characters/rivets.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:12] "GET /assets/characters/sera.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:12] "GET /assets/characters/bolt.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:30:12] "GET /assets/characters/wonder.glb HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /index.html?qa=1 HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/three.min.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/gltf/GLTFLoader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/post/EffectComposer.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/post/RenderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/post/ShaderPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/post/UnrealBloomPass.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/shaders/CopyShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/vendor/shaders/LuminosityHighPassShader.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/core.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/textures.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/world.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/characters.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/audio.js HTTP/1.1" 200 -
127.0.0.1 - - [21/Aug/2026 17:31:39] "GET /js/ai.js HTTP/1.1" 200 -
